run_date,file_path,file_sha256,n_entries,ingested_at
2025-04-22,/Users/yeohyy/Library/CloudStorage/GoogleDrive-yeoh.yuyong@gmail.com/My Drive/School/NTU/GIC/outlook-proj/reports/2025-04-22.md,5a4d2605f2dc14979100257311af97172272007bfb9d2765e4b65c417bce23d2,9,2026-04-23T09:42:19
2025-07-22,/Users/yeohyy/Library/CloudStorage/GoogleDrive-yeoh.yuyong@gmail.com/My Drive/School/NTU/GIC/outlook-proj/reports/2025-07-22.md,6512a00c2b2db4f3bc669fc549a8e767c42101b0129b13525f7507fd4482e592,8,2026-04-23T09:42:19
2025-10-22,/Users/yeohyy/Library/CloudStorage/GoogleDrive-yeoh.yuyong@gmail.com/My Drive/School/NTU/GIC/outlook-proj/reports/2025-10-22.md,185cb9d6d52d2139865a8c00cad0c73adc037708ba06d69a105073f360a0e077,9,2026-04-23T09:42:19
2026-01-22,/Users/yeohyy/Library/CloudStorage/GoogleDrive-yeoh.yuyong@gmail.com/My Drive/School/NTU/GIC/outlook-proj/reports/2026-01-22.md,dcf53ab812223da6f291c9d2c74ab0f4ff763ab7f00ad00bb473c360aafc169e,10,2026-04-23T09:42:19
2026-03-18,/Users/yeohyy/Library/CloudStorage/GoogleDrive-yeoh.yuyong@gmail.com/My Drive/School/NTU/GIC/outlook-proj/reports/2026-03-18.md,f5690a537a4e42f3e2a05a54fc2697eaeaacb590e3d8947a66e16c35b17eecc7,9,2026-04-23T09:42:19
2026-03-25,/Users/yeohyy/Library/CloudStorage/GoogleDrive-yeoh.yuyong@gmail.com/My Drive/School/NTU/GIC/outlook-proj/reports/2026-03-25.md,0f2c2697efe67c71c8d457a82f3deecee12e96c478b25802788d4926acdd006c,11,2026-04-23T09:42:19
2026-04-01,/Users/yeohyy/Library/CloudStorage/GoogleDrive-yeoh.yuyong@gmail.com/My Drive/School/NTU/GIC/outlook-proj/reports/2026-04-01.md,917143c9ace1bdf58831d03b5811bc549306cc0a24c93913bf9761c851a063e5,11,2026-04-23T09:42:19
2026-04-08,/Users/yeohyy/Library/CloudStorage/GoogleDrive-yeoh.yuyong@gmail.com/My Drive/School/NTU/GIC/outlook-proj/reports/2026-04-08.md,957929d6ce6ffcb57e9e46a6cc22643d515f0d1bf9b29b366268cc47caf87296,12,2026-04-23T09:42:19
2026-04-15,/Users/yeohyy/Library/CloudStorage/GoogleDrive-yeoh.yuyong@gmail.com/My Drive/School/NTU/GIC/outlook-proj/reports/2026-04-15.md,671df2708cb1aa087b6cd5f02ca3da863e63736193aa24a50170d565133b9d1a,10,2026-04-23T09:42:19
2026-04-22,/Users/yeohyy/Library/CloudStorage/GoogleDrive-yeoh.yuyong@gmail.com/My Drive/School/NTU/GIC/outlook-proj/reports/2026-04-22.md,b968e46efb491ee8f4024f0d75ce79cb1e408c27de443dfeca9a1eac036ae221,14,2026-04-23T09:42:19
